NAMA_SEKOLAH,NSS,NPSN,ALAMAT_SEKOLAH,NAMA_LENGKAP,NIK,JENIS_KELAMIN,TEMPAT_LAHIR,TANGGAL_LAHIR,NAMA_IBU_KANDUNG,ALAMAT_TEMPAT_TINGGAL,DUSUN,KELURAHAN,KECAMATAN,KOTA,PROVINSI,LINTANG_1,LINTANG_2,AGAMA,NPWP,NAMA_WAJIB_PAJAK,KEWARGANEGARAAN,STATUS_KAWIN,NAMA_PASANGAN,PEKERJAAN_PASANGAN,PASANGAN_PNS,NIP_PASANGAN,STATUS_PEGAWAI,PNS,NIP,NIY,NIGB,NUPTK,JENIS_PTK,SK_PENGANGKATAN,TMT_PENGANGKATAN,LEMBAGA_PENGANGKATAN,SK_CPNS,TMT_CPNS,TMT_PNS,PANGKAT,SUMBER_GAJI,KARTU_PEGAWAI,KARIS,NO_SURAT,TGL_SURAT,TMT_TUGAS,SEKOLAH_INDUK,LISENSI_KEPALA_SEKOLAH,KODE_PROGRAM_KEAHLIAN,JENIS_KETUNAAN,SPESIALIS_MENANGANI,STATUS_AKTIF,HP,EMAIL
Young-Collins,675942464727,3528197849367231,"5208 Amber Creek
Charlesshire, HI 08113",Dustin Jimenez,348340443995064,Perempuan,Rogersbury,1986-07-20,Dwayne Olson,"Unit 6562 Box 7128
DPO AP 27637",Port Margaret,Lake Erin,East Jimmy,Philliptown,Carrville,-40.212507,-81.6953605,Budha,6563365015702692,Courtney Thomas,Libyan Arab Jamahiriya,Kawin,Stephanie Mason,Agricultural engineer,Iya,6011612099206902,Tidak Aktif,Tidak,3567902313624211,38538630169477,180065700514669,4638621718225324523,woman,2223555632675880,4208861792439843,"Gonzalez, Smith and Jefferson",3551198501695638,342833527481114,5380252888241714,"['cut', 'star', 'author']","Little, Garcia and Brewer",6011778983517058,4412787803666128,060469784825,1988-12-24,3552366588767443,Fact speech include company while beat care.,Message which only player box.,3503612093205464,"['be', 'test', 'maintain']","['strong', 'miss', 'million']",Tidak Aktif,+1-866-410-1351,jbuck@example.com
Joseph Inc,4252885785827,3519161264170034,"229 Reyes Row
Greenestad, NH 02833",Nicole Jackson,6581373098356871,Laki-laki,Ramoston,1985-12-27,Jonathan Gallagher,"698 White Mall Apt. 623
Devinside, NE 87947",Shafferberg,East Brenda,East Emilyside,Derekville,Marcton,64.520383,-24.3075635,Katolik,588517869859,William Henderson,Gambia,Kawin,Kimberly Powers,Human resources officer,Tidak,180050975975324,Tidak Aktif,Tidak,180032041984936,4868127526060862,4048896429329062577,4139916666505700271,money,4566015751463312,4348967168160490,Garza-Carlson,502032078862,3522966627954550,374278188539712,"['society', 'fire', 'team']",Fisher Ltd,3523393300575686,2252796771516238,3503926247091715,2018-11-25,3591441555371835,Appear material indicate military also market.,Race serve almost air middle administration wait.,3513493152846078,"['bed', 'have', 'line']","['fast', 'few', 'piece']",Aktif,881-437-2051,wyoung@example.org
"Buckley, Jones and Butler",569592119584,4281371454882058,"USCGC Wood
FPO AP 69056",Danielle Hunt,3511264141914901,Laki-laki,North Shelleystad,2014-11-01,Troy Tyler,"1422 Jennifer Gateway
Matthewburgh, WI 05659",Christinashire,East Monica,West Lauren,North Jacob,North Lisaberg,30.025890,68.964835,Katolik,3528583693777726,Elizabeth Baker,Zambia,Kawin,Melissa Johnson,Plant breeder/geneticist,Tidak,30043950620579,Aktif,Iya,6011561843927976,349281074250354,3584416172576148,378813009647140,could,6011928884199650,2286242284974226,Rogers-Mcbride,4108151917837381,180067460483119,30364586070298,"['possible', 'leg', 'never']",Hanson-Cox,2273194935833803,2283896425494544,180048088172953,2009-07-03,6011951261491805,Democrat ability right religious.,Teacher cut still card.,6526774455977605,"['cell', 'she', 'Republican']","['force', 'realize', 'deal']",Aktif,001-667-770-2686x49834,vlewis@example.org
"Ayers, Massey and Harris",4793786160789787,2393974902165346,"556 Smith Street Apt. 913
North Michael, MA 53943",Dale Taylor,3560917287681200,Perempuan,East Samantha,2010-07-25,William Smith,"4969 Horn Unions
Cortezhaven, MN 90289",Port Alanland,Haneyborough,North Derek,Lake Patrick,Larsenbury,-32.1060785,-53.8937435,Konghuchu,4248468548731,Joanne Rhodes,Saint Vincent and the Grenadines,Kawin,Ricky Page,Wellsite geologist,Iya,213104863478452,Aktif,Iya,3564674546329560,213101951812790,180080529983961,3521970136222898,long,371760085657427,4060809101536442,Campbell Ltd,6011702498102693,5487175528530828,379821310293784,"['note', 'between', 'sign']","Bradley, Vincent and Palmer",4240454268713248633,501868140267,3550087395301000,2003-01-13,4448395407635,Their series more return.,Four sing picture first.,3542770958065978,"['plan', 'couple', 'everyone']","['bed', 'little', 'right']",Aktif,001-030-312-1257,tonycunningham@example.com
"Brown, Phillips and Walters",4682069308020330,180073197062168,"756 Richard Trail Apt. 541
Careystad, KY 73608",Michelle Houston,38814844203836,Laki-laki,Michellefort,1972-01-19,Jade Smith,"5648 Bryan Pines Suite 917
Allenchester, LA 63380",Tiffanytown,Melissashire,Grahamberg,South Gregoryside,Hollyfort,-67.3880305,-76.3549045,Konghuchu,213129994038545,Catherine Rose,Ethiopia,Kawin,Brian Robles,Social worker,Tidak,676361862888,Tidak Aktif,Tidak,4042875805005783792,2260675583805833,3519321354458299,213141692070852,add,6011396577538966,4951956867756200107,Smith and Sons,3560231073680461,4535087169356,3599585612137878,"['truth', 'throw', 'level']",Rogers-Payne,30161439618764,676215112811,676231687986,1994-03-16,639028405715,Ok cold feel success she put.,Yeah surface recognize test would door.,38543317596604,"['have', 'development', 'Democrat']","['debate', 'me', 'poor']",Tidak Aktif,604-011-0041x500,davidsonjessica@example.com
"Thompson, Dawson and Coleman",3538695638762601,060470307962,"42971 Brewer Lights
East Staceymouth, OH 64209",Nicholas Mccormick,6594081966875014,Laki-laki,Michaelville,1987-02-19,Evan Wise,"6094 Maldonado River Suite 763
West Tammy, SC 40429",East Jason,Port Jennifer,Shawborough,Lake Rhonda,Austinside,29.3825015,80.0930215,Konghuchu,4399776527980169,Stacey Mccoy,Denmark,Belum Kawin,Clifford Morton,Actuary,Iya,3555970137936420,Tidak Aktif,Tidak,375797105792251,371415359082527,6540962099832516,180065472373484,medical,38500869899638,180080012159509,Smith PLC,6011785746439363,6011701650125534,4842566544770591,"['matter', 'challenge', 'recently']",Burton-Hamilton,30175792046801,4156523501746,4829711387543906,2021-08-22,6552966321104664,Go your speech quickly.,Discussion lot that themselves vote.,370376461117455,"['full', 'position', 'style']","['season', 'instead', 'economic']",Tidak Aktif,3594323667,uallen@example.net
"Hurst, Taylor and Perez",6011416749497402,4416887372245,"2287 Christian Summit Suite 862
Lake Terri, AR 97824",Brandon Daniels,371628950774447,Perempuan,South Bettyview,2000-09-02,Meagan Williams,"3433 Craig Fields
North Kristin, AK 12920",Lake Aprilport,Laurenchester,Scottborough,Martinezville,Kathleenside,-1.5889005,76.0444955,Katolik,560966078712,Kimberly Morris,Portugal,Kawin,Brandon Young,Charity fundraiser,Tidak,4851727322837931,Aktif,Tidak,4249252790178095949,4190326598476,340147354783209,4312019856325431,get,30574168051298,586747456927,"Newman, Huerta and Thomas",579325298183,3593263349222019,4948033911090304,"['include', 'be', 'hit']","Soto, Flores and Chen",180041183726088,30534770201830,6565722905726033,2014-12-29,4496413100039831,Reveal economy organization.,Get minute interview bad my too.,4052565427141210418,"['offer', 'add', 'increase']","['account', 'author', 'film']",Tidak Aktif,469.204.9333,elizabethlester@example.com
"Jensen, Pacheco and Leach",30341607504000,213161837486482,"888 Simpson Alley Suite 843
Marshallchester, LA 35925",Barbara Brown,630487475265,Perempuan,Port Diana,2013-11-26,John Martinez,"3790 Harrington Summit Apt. 561
Carterborough, GA 91759",West Patrick,East Angela,Penningtonfurt,Joshuahaven,South Josetown,3.2842455,-81.4855985,Hindu,4878801041612,Johnny Chavez,Belize,Kawin,Julie Lin,"Scientist, clinical (histocompatibility and immunogenetics)",Tidak,342338965971220,Tidak Aktif,Iya,4737703713462391294,4950803908822314,3507674561091061,676397826105,special,4584145172433620012,2239265456931052,Browning-Thomas,3592997681097387,4910683701890943,4256493684100811,"['stop', 'concern', 'own']",Gonzales and Sons,4376431776863,346881184899819,6582333759275298,2001-08-18,630460392107,Simple give challenge which help skill heavy.,System yourself memory PM store choice.,4469814685464786,"['present', 'purpose', 'particularly']","['accept', 'receive', 'seat']",Aktif,688.714.5595,bhancock@example.com
Lee-Gibson,6545580276677481,4433342682380061813,"PSC 3143, Box 9109
APO AE 04602",Amy Neal,6573640075109956,Laki-laki,North Tammyview,2010-07-29,Jonathan Daniels,"5793 Anderson Mountain
West Faith, WV 45071",South Erica,Joneshaven,Newmanchester,South Marilyn,New Reginald,82.9077915,-42.6237305,Kristen,2221103131710031,Mariah Moon,India,Kawin,Christopher Chan,Product manager,Iya,4005432088594,Tidak Aktif,Tidak,676339275106,4663844792235,36835388507128,4667412167169919652,may,372385829357479,4431593672956930,"Davis, Johnson and Martinez",4481158132660909,676146702482,3522154995012000,"['others', 'heart', 'top']",Shepard Inc,4048293811894,4734944928563,4715061561419997552,1974-07-18,2709810083137424,View response someone expert themselves ball significant yard.,Hair free old more.,38409186803408,"['recognize', 'stand', 'eight']","['operation', 'myself', 'never']",Aktif,642.302.0626x0528,ybecker@example.com
"Richards, Jacobson and Mckinney",4542993590519677,213175540397216,"515 Pierce Orchard
North Rachelbury, FL 73062",Donna Rogers,2241006178343382,Laki-laki,North Aliciaton,2002-06-22,Deborah Green,"17596 Arias Tunnel
Hintonhaven, HI 80296",East Markberg,Port Johnshire,Medinaland,New Emily,Kimberlychester,-18.714414,-9.186205,Katolik,346560923409979,Joseph Lewis,Pitcairn Islands,Kawin,Amber Greer,Fitness centre manager,Iya,4523628204134488,Aktif,Iya,378908064161761,5428992518057022,4547887629848164950,30208934146039,key,6011448023706547,3547927840465965,Rodriguez-Whitney,3516013374046146,4645490621239694,3595163008831373,"['would', 'natural', 'risk']","Berger, Sanchez and Sims",213130311612020,3541076855840070,4332222950852,1987-01-30,6570727583757740,Person reach hold specific her argue natural.,Less need animal onto brother sister.,3599097678482057,"['someone', 'challenge', 'evening']","['stand', 'always', 'opportunity']",Aktif,3431815503,michael00@example.org
Lopez-Short,5533666974705728,3554472236981911,"8787 Jacqueline River
Harrisonport, NJ 09998",Laurie Johnson,4792862503362,Perempuan,Stevenborough,1976-06-12,Christopher Stephens,"6831 Willie Streets Apt. 780
South Donaldchester, AK 03108",Tiffanyside,Chambersburgh,Lake Shannonstad,Williamside,Cruzmouth,-70.2393535,-44.945477,Islam,4724510098782753,Katelyn Nelson,Ukraine,Belum Kawin,Scott Dunlap,Firefighter,Iya,4012647586888980,Tidak Aktif,Iya,4589746136571113,4080372244929442,3538053862587064,4410322433628609472,budget,2520688536009193,576063753288,Perez Inc,180003026810214,5420057086527620,3591224764398157,"['push', 'include', 'particular']",Brown-Murphy,180021910129806,4820846521522371,342261175850697,1984-02-01,4524774340823664,Media world alone south remember model practice marriage.,Always religious human stock else board.,213171947275881,"['operation', 'tell', 'writer']","['worker', 'bar', 'sing']",Tidak Aktif,(636)139-1694,jesse34@example.org
Mack-Baker,675947427612,4390607137816171,"2918 Washington River Apt. 989
West Bryanton, ME 05647",Amy Walker,343856071767876,Perempuan,North Juan,1988-02-22,Kevin Harris,"26284 Robinson Knoll Suite 797
Denisefort, ID 02634",North Elizabethton,Stantonside,Lake Elizabeth,Gabrielton,South Gregory,65.3287815,-51.5403355,Kristen,676297090646,Alyssa Avery,Lesotho,Kawin,Shannon Gray,Interpreter,Iya,676366720313,Tidak Aktif,Tidak,3505729719730093,3596443796810766,374808479677803,676200793393,top,4515177972185623253,6011043328996032,"Aguilar, Costa and Sanchez",213152150406744,503860524241,4757382695358837,"['ten', 'technology', 'them']",Jackson Ltd,2250837062167844,3502351863966432,213100086514818,1974-09-16,6531819969021078,Travel glass wall economy couple.,End capital line into address find.,4464701572769978,"['each', 'network', 'character']","['somebody', 'pick', 'test']",Aktif,(924)601-2688,taragallagher@example.com
Ellis PLC,3583094007955505,180059493068462,"65711 Matthew Cove
New Monique, SD 20390",David Harris,30249015338251,Perempuan,East Darrenside,1986-08-18,Angela Bennett,"60855 Carr Court Suite 069
Ralphmouth, NM 46382",West Amanda,South Jasonton,North Mary,Reedborough,Castromouth,-70.487335,-42.766888,Konghuchu,676127692181,Melissa Castro,Gambia,Kawin,Tyler Dawson,Tourist information centre manager,Iya,567466267000,Tidak Aktif,Tidak,213172455621631,4341236762063935733,3577133218401160,563074002459,general,341933399811785,4341937686851034,Wood-Woods,675961221313,3519191259409386,060477987139,"['charge', 'must', 'far']",Morrow PLC,2256883338560325,180075812740490,36072433130447,1992-05-16,4809641182180147,Fear class state huge stuff.,Interview give adult find cell.,570242664615,"['rather', 'hand', 'skill']","['experience', 'early', 'sister']",Tidak Aktif,(789)431-3134,michael46@example.com
Ford-Sharp,3578652545707345,5487519562549352,"494 Davidson Walks Apt. 770
Carriestad, NV 54304",Linda Macias,3594614756055715,Perempuan,Johnsonton,1980-01-03,Victor Gomez,"39605 Martin Ridges Suite 434
Susanfurt, SC 78171",Jamesstad,Velezburgh,Port Matthew,Goldenside,Robertport,3.405722,67.0276795,Katolik,377404276875423,Justin Dorsey,Sao Tome and Principe,Belum Kawin,Levi Robles,Senior tax professional/tax inspector,Iya,6561700289234315,Aktif,Tidak,3575024916379919,3558836756707656,3598371368628506,5582995350452997,themselves,3513467595108759,6011449063004199,Zamora LLC,4866523083955522,4365374989104,180009367315622,"['paper', 'common', 'stock']",Phillips-Walker,630496685664,38902405279491,676366453063,1983-08-04,4493802710376139751,Decide turn performance small new read same garden.,Among tree reason theory reach real.,180005177245124,"['new', 'reveal', 'here']","['our', 'staff', 'yet']",Aktif,(553)302-1376,sarahernandez@example.com
"Lynch, Peterson and Wise",2265315339214064,4058271399130582,"995 Mark Estate Suite 748
West Joe, HI 85959",Nathan Bradley,630494533049,Laki-laki,Bridgesberg,1993-06-21,Robert Boyd,"28515 Leonard Drive
Moorestad, TX 77046",New Emilyland,Sandraton,Patriciaberg,Lake Michaelborough,Sabrinachester,53.2118365,57.1379455,Hindu,6011272836234111,Larry Taylor,Ireland,Kawin,Toni Lewis,Public affairs consultant,Tidak,3587717800880134,Aktif,Iya,30229427604706,4545738621131498,6586429991708280,213112585729698,TV,3511757684613590,3519879645866505,Williams-Matthews,4497150872991650957,4372721990686,213105898637061,"['fear', 'help', 'military']",Jackson-Hernandez,3505206059090453,30157102809144,3573701347152849,1992-02-13,503893837677,Across popular keep suffer recognize many record girl.,Need begin yet ok.,6011599955430348,"['responsibility', 'same', 'material']","['onto', 'agree', 'subject']",Aktif,107-835-6680x806,sabrina79@example.net
"Cummings, Rodriguez and Carrillo",4292542817099054,6011112586191907,"980 Mary Freeway
North Lorishire, VT 74023",Anthony Montgomery,4078150651203962,Laki-laki,Hunterchester,2006-02-15,Heather Woods,"533 Joshua Causeway
East Jasontown, ID 56578",West Michaelchester,Port Audrey,East Brittanyside,Stefanieburgh,West Barryshire,-62.798509,-43.500980,Budha,3548415733632247,Maurice Rhodes,Malta,Kawin,Jerome Lewis,Nutritional therapist,Iya,4820265132838060,Aktif,Iya,376295267255570,4728566270974473,2274713128691105,2529882950475243,whose,6011823096408512,4695416192832012,"Lester, Smith and Russell",4604754620752825800,3592566085926291,4372096002161511,"['test', 'grow', 'one']","Ward, Ho and Rogers",4864877751352465309,582579753572,30520847270296,1989-07-05,2260248923057257,Evidence relationship simple something dark.,Successful rule from she response across.,675932264145,"['of', 'day', 'truth']","['describe', 'either', 'no']",Aktif,4401981506,william37@example.org
"Stewart, Clark and Hammond",379054276277829,4521264936514060,"259 Andrew Junctions
South Jeffreyshire, NC 41364",Christopher Brown,4396529152868,Perempuan,Bryantport,1972-12-06,Tiffany Moore,"310 Robert Roads
Lindaborough, CT 94995",South Rachaelfurt,West Edwardfort,North Donald,Lake Annahaven,Lake Robert,32.5880185,-52.954815,Katolik,4076494813039001,Megan Hayes,Svalbard & Jan Mayen Islands,Kawin,Curtis Mills,"Psychologist, sport and exercise",Tidak,4007405539158812,Aktif,Iya,3529166880365056,4233927092506126721,4265478522191071,373796671567727,strong,2706769144224675,4773577066382544,Rowland-Cook,3557420542479432,345930734579727,4241009451683389,"['manager', 'between', 'miss']",Martinez and Sons,3504849289300795,4486453223254844,2271305001158659,1998-09-28,4988234755686,Range analysis environment main out pass rate.,General market he focus area six.,4668830300893,"['plant', 'easy', 'campaign']","['present', 'dinner', 'protect']",Aktif,001-142-711-9278x24687,hoffmannichole@example.net
Smith PLC,2720382128786453,676121910134,"281 Anthony Meadows Suite 447
Carpenterberg, AK 36848",Shawn Green,38882087525942,Perempuan,West Christystad,2011-11-04,Andrew Anderson,"2580 Karen Station Apt. 223
Nielsenville, CO 67544",New Meganchester,New Johnmouth,New Anthony,Johnberg,Pottertown,-35.308101,21.025402,Konghuchu,6011412518843926,Joseph Wells,Canada,Kawin,Lucas Hurley,Retail merchandiser,Tidak,3589226082712732,Tidak Aktif,Iya,675978918596,4271066298491395,180045570513645,4734738393146907512,cultural,6011923651074756,580922429049,"Miles, Nash and Chang",2282110001942194,6546692612611717,379989939721202,"['single', 'teacher', 'pull']",Lewis PLC,3592595363945186,38890208583401,213198121647346,2020-11-08,4364760868899304,He hope third when provide sit.,Around item employee respond.,4631038888211445244,"['value', 'administration', 'contain']","['better', 'check', 'several']",Aktif,+1-439-354-7242,shanerogers@example.org
