NIS,NISN,NAMA,NIPD,JENIS_KELAMIN,TEMPAT_LAHIR,TANGGAL_LAHIR,NIK,AGAMA,ALAMAT,RT,RW,DUSUN,KELURAHAN,KECAMATAN,KODE_POS,JENIS_TINGGAL,TELEPON,HP,EMAIL,SKHUN,PENERIMA_KPS,NO_KPS,ROMBEL_SAAT_INI,NO_PESERTA_UJIAN_NASIONAL,NO_SERI_IJAZAH,PENERIMA_KIP,NO_KKS,NO_REGRISTASI_AKTA_LAHIR,BANK,NO_REKENING_BANK,REKENING_ATAS_NAMA,LAYAK_PIP,KEBUTUHAN_KHUSUS,ANAK_KE,LINTANG,BUJUR,NO_KK,BERAT_BADAN,TINGGI_BADAN,LINGKAR_KEPALA,JUMLAH_SAUDARA_KANDUNG,JARAK_RUMAH_KESEKOLAH_KM
36229543405438,,David Alvarez Jr.,3535621105116868,Perempuan,North Dana,2008-08-10,4787785345651,Kristen,"382 Steven Stream
South Elizabeth, VA 31539",163,441,Lake Jamesshire,Port Jeffrey,Lake Jordan,58492,Mandiri,,,,,,,,,,,,,,,,,,,,,,,,,,
3597374964901260,,Haley Barnett,6540437205764309,Laki-laki,Marshshire,1996-12-03,3573595951911973,Konghuchu,"4052 Johnny Fort Suite 579
New Ryanstad, MT 42107",395,307,Lewisburgh,South Toddborough,Chavezstad,32102,Bersama Orang Tua,,,,,,,,,,,,,,,,,,,,,,,,,,
3594487788743594,,David Tucker,348156623626091,Laki-laki,North Lawrence,2004-09-13,6511804063208494,Konghuchu,"280 Gloria Glen Apt. 471
Lake Matthew, OR 64678",107,89,Lake Joelhaven,Vincentberg,Michaelborough,69788,Bersama Orang Tua,,,,,,,,,,,,,,,,,,,,,,,,,,
3590008211246007,,Daniel Cowan,4190015754209906,Perempuan,Hamiltonshire,1980-07-11,180068668448524,Kristen,"3894 Jacob Trace
Amyburgh, KY 50119",574,483,New Barbara,South Nicholasbury,Perezton,99779,Bersama Orang Tua,,,,,,,,,,,,,,,,,,,,,,,,,,
3587165523857122,,Penny Harris,30515142017756,Perempuan,Martinezshire,2003-05-17,3528427115441893,Islam,"457 Travis Glen
Port Jasonville, SC 56217",940,30,Michellemouth,Clairestad,Monicachester,40408,Mandiri,,,,,,,,,,,,,,,,,,,,,,,,,,
3585769492660870,,Joyce Robertson,30215414194777,Laki-laki,Shannonland,2014-05-02,4197070900368968,Islam,"731 Jeffrey Place Apt. 056
Terrihaven, AR 13797",930,943,Lake Pamelafurt,Amandaberg,Mendezville,22179,Bersama Orang Tua,,,,,,,,,,,,,,,,,,,,,,,,,,
3574542857748736,,Michael Smith,3572815498368243,Laki-laki,Wrightberg,1992-05-02,4811963424353837,Kristen,"5212 Smith Divide
Cameronborough, MD 30582",766,104,Reynoldschester,South Johnton,Kaylamouth,70750,Mandiri,,,,,,,,,,,,,,,,,,,,,,,,,,
3543568165632229,,John Stevenson,4468524186137764139,Laki-laki,North Timothyberg,1984-07-06,4987066835087164,Islam,"812 Jason Pike Suite 311
Lake Michael, MA 22274",13,291,North Vincentmouth,Lloydfurt,Dwayneside,59042,Bersama Orang Tua,,,,,,,,,,,,,,,,,,,,,,,,,,
3540697259796930,,Ashley Woods,4888833068962,Laki-laki,Matthewfort,2008-02-08,4769094597538723,Hindu,"82011 Jennifer Drive
West Edwardshire, IA 64822",637,633,South Robin,New Maria,Juanton,81020,Bersama Wali,,,,,,,,,,,,,,,,,,,,,,,,,,
3528411727122158,,Kelli Hodges,2286315630226036,Laki-laki,New Barbara,2018-05-13,370015935488817,Konghuchu,"208 Jennifer Freeway Apt. 208
Michaelmouth, AZ 90443",569,793,Amandachester,Terryland,New April,9647,Bersama Wali,,,,,,,,,,,,,,,,,,,,,,,,,,
348503859296083,,Valerie Beasley,4046000711692794317,Laki-laki,Davidside,2002-01-10,38199041235918,Islam,"572 Katrina Crescent
Chungville, DC 63951",402,119,Stevensville,South Jamesfurt,Hollybury,74337,Bersama Wali,,,,,,,,,,,,,,,,,,,,,,,,,,
340331597882941,,Ashley White,180067305163447,Perempuan,Port Toddchester,1987-06-03,3560385486996060,Kristen,"16862 Bell Stravenue Apt. 488
North Patrickport, KY 33597",613,416,Marisaland,West Tammy,East Erin,82279,Bersama Wali,,,,,,,,,,,,,,,,,,,,,,,,,,
30535416059771,,Dr. Bradley Bowen,4062327046096537,Perempuan,Bennettchester,1978-10-19,3504511768202245,Hindu,"16447 Gregory Falls Suite 305
Grossberg, IA 81958",366,839,North Victoriashire,Lake Lauraview,South Michaelbury,54745,Bersama Wali,,,,,,,,,,,,,,,,,,,,,,,,,,
30485614708466,,Andrew Bell,180004188636215,Laki-laki,Nicoletown,1976-05-17,38780054053551,Hindu,"755 Webster Mission
Davidland, IA 67838",33,761,Scottmouth,South Robin,Sellersbury,80522,Bersama Orang Tua,,,,,,,,,,,,,,,,,,,,,,,,,,
30254810005931,,Bryan Barry,4800809989915,Perempuan,Georgeview,2016-02-19,4889256167182,Islam,"308 Robinson Glens
New Jessicastad, AR 25053",631,243,North Jason,Guyborough,Taylorview,2568,Bersama Orang Tua,,,,,,,,,,,,,,,,,,,,,,,,,,
30176836057184,,Allison Clay,2709874348905025,Laki-laki,New Connor,2014-12-03,3562312741646809,Islam,"646 Rivera Springs
Mollyfurt, WA 73677",991,707,Greeneville,New Michelle,North Caitlynside,33981,Mandiri,,,,,,,,,,,,,,,,,,,,,,,,,,
2319948053321875,,Jeffrey Dillon,3593780697925273,Perempuan,Lopezside,1993-12-01,4080956808695132,Hindu,"79940 Christopher Flats
Dianemouth, HI 97998",63,485,Shafferbury,Castrochester,Websterside,56621,Bersama Orang Tua,,,,,,,,,,,,,,,,,,,,,,,,,,
213186929137776,,Adriana Mcbride,060480495880,Perempuan,Dustinton,1987-06-16,4907234796348242,Budha,"56309 Ryan Inlet
South Patriciamouth, DE 88481",355,68,Simonton,New Gregoryport,West Jessica,26308,Mandiri,,,,,,,,,,,,,,,,,,,,,,,,,,
213183535705252,,Robert Trujillo,4605610871971435597,Perempuan,North Brandontown,1987-12-24,6011388204730074,Kristen,"Unit 1068 Box 3248
DPO AP 02803",360,786,Port David,Sethside,East Brittany,34681,Bersama Orang Tua,,,,,,,,,,,,,,,,,,,,,,,,,,
213136852631998,,Tammy Barrett,3564414719344116,Laki-laki,South Donna,2005-12-23,4742993130456792396,Hindu,"795 Isabella Landing
Lake Kyle, OR 21843",962,708,Haleystad,East Leslieburgh,Mayland,55521,Mandiri,,,,,,,,,,,,,,,,,,,,,,,,,,
213135885162369,,Susan Whitney,4084438883474013779,Laki-laki,South Alexisport,1986-12-02,3579910818322021,Islam,"97914 Denise Track Apt. 896
Baileyburgh, WV 44822",518,748,Whitefurt,Blackborough,Jamieview,18044,Bersama Orang Tua,,,,,,,,,,,,,,,,,,,,,,,,,,
180098526815333,,Hector Williams,3597554774840887,Perempuan,East Amandastad,1988-04-03,180014734548269,Islam,"1787 Shepherd Turnpike
Savagefurt, RI 74671",613,744,Andrewstad,Nolanshire,Collinsside,44903,Mandiri,,,,,,,,,,,,,,,,,,,,,,,,,,
180088299774734,,Deanna Hernandez,4567657547792832,Laki-laki,North Haley,2012-06-28,213175702122907,Konghuchu,"4956 Murray Place
East Benjaminbury, DC 61627",906,249,New Johnhaven,Lake Antonio,New Williamberg,53944,Mandiri,,,,,,,,,,,,,,,,,,,,,,,,,,
180055307572525,,Kelly Craig,6522534922203223,Laki-laki,Port Michael,1980-08-26,3595343765569198,Konghuchu,"5450 Roberts Burgs
Smithtown, AZ 73042",663,135,North Christopher,South Sandra,Guyfurt,10526,Mandiri,,,,,,,,,,,,,,,,,,,,,,,,,,
060489917991,,Natasha Hughes,4728470396276782,Laki-laki,South Lisaport,2014-11-04,347899967493609,Islam,"7816 Kelly Squares Suite 261
North Nicholasberg, VT 25467",994,222,Lake Heatherport,Larryville,New Jason,39828,Bersama Wali,,,,,,,,,,,,,,,,,,,,,,,,,,
060487239760,,Sherri Garcia,4856803842130001,Perempuan,Lake Kevinshire,2015-11-16,4891271265165,Hindu,"55834 Randall Pines Suite 747
Port Allisonfurt, AK 07706",624,615,East William,Joseside,Port Michael,55013,Mandiri,,,,,,,,,,,,,,,,,,,,,,,,,,
