NIK_AYAH,NAMA_AYAH,TAHUN_LAHIR_AYAH,JENJANG_PENDIDIKAN_AYAH,PEKERJAAN_AYAH,PENGHASILAN_AYAH,NIK_IBU,NAMA_IBU,TAHUN_LAHIR_IBU,JENJANG_PENDIDIKAN_IBU,PEKERJAAN_IBU,PENGHASILAN_IBU,NIK_WALI,NAMA_WALI,TAHUN_LAHIR_WALI,JENJANG_PENDIDIKAN_WALI,PEKERJAAN_WALI,PENGHASILAN_WALI,DATA_ANAK
676147329582,Nancy Morton,2021-06-19,S2,Make,Rp 3.500.000;- Rp 5.000.000;,30374308386286,Robert Roberts,1986-08-24,D4,Architectural technologist,Rp 5.000.000; Ke Atas,348430240322289,Rachel Soto,2018-02-13,S2,"Engineer, petroleum",Rp 3.500.000;- Rp 5.000.000;,
4465968180551796,Aaron Pena,1996-02-05,D3,Dealer,Rp 500.000;- RP 1.500.000;,180088740541211,Jeffrey Green,1980-05-24,D3,Geophysical data processor,Rp 500.000;- RP 1.500.000;,3585415098737452,Thomas Walton,1977-01-11,SD/Sederajat,Optometrist,Rp 500.000;- RP 1.500.000;,
4600553169917287,Amy Klein,1986-04-08,D1,Architect,Rp 1.500.000;- Rp 3.500.000;,502025062360,Jennifer Evans,1978-01-03,SMP/Sederajat,Colour technologist,Rp 3.500.000;- Rp 5.000.000;,30332650731541,Maria Hunt,1980-06-18,Lainnya,Toxicologist,Rp 1.500.000;- Rp 3.500.000;,
3589399231745794,Janice Perkins,1988-10-06,SD/Sederajat,"Optician, dispensing",Rp 3.500.000;- Rp 5.000.000;,3566058312784232,Jill Huerta,2001-08-18,SD/Sederajat,Textile designer,Rp 1.500.000;- Rp 3.500.000;,3503692064012354,Crystal Kelly,2013-03-01,D1,Estate agent,Kurang dari Rp 500.000;,
060410167682,John Lopez,2003-07-21,D3,Contracting civil engineer,Rp 500.000;- RP 1.500.000;,3524774227298800,Phyllis Jones,2012-10-29,Lainnya,"Therapist, horticultural",Rp 1.500.000;- Rp 3.500.000;,3578794278529437,Kristen Lewis,2002-10-02,D2,Chartered loss adjuster,Rp 500.000;- RP 1.500.000;,
2614662747014877,Vincent Nguyen,1993-12-08,D2,Public relations account executive,Rp 1.500.000;- Rp 3.500.000;,578397472239,Cody Martin,1990-08-19,SMA/Sederajat,"Engineer, manufacturing systems",Rp 3.500.000;- Rp 5.000.000;,4156507960729248111,Christine Mendoza,1987-08-04,D1,Paediatric nurse,Rp 1.500.000;- Rp 3.500.000;,
213101962929104,John Cooper,1985-11-25,D3,Community education officer,Rp 500.000;- RP 1.500.000;,4733413767973744581,Sharon Simon,2020-09-11,D2,Equities trader,Rp 500.000;- RP 1.500.000;,589062968666,Angela Trujillo,1973-04-04,SD/Sederajat,"Designer, television/film set",Kurang dari Rp 500.000;,
676332851721,Charles Perez,1994-10-01,SD/Sederajat,"Surveyor, hydrographic",Rp 500.000;- RP 1.500.000;,4033592667425598,Anthony Gibbs,2014-03-25,SD/Sederajat,Immunologist,Rp 1.500.000;- Rp 3.500.000;,4436974852817842,Amanda Mcgee,2014-12-23,Lainnya,Geoscientist,Rp 3.500.000;- Rp 5.000.000;,
4431950128113771382,Todd Burns,1970-12-14,SMP/Sederajat,"Teacher, primary school",Rp 1.500.000;- Rp 3.500.000;,3540533366063981,Christopher Nelson,2012-06-14,SMP/Sederajat,Clinical psychologist,Rp 5.000.000; Ke Atas,6508062749768440,Emily Marsh,1998-02-10,D2,Tax inspector,Rp 3.500.000;- Rp 5.000.000;,
3530302432456682,Brenda Martin,1985-10-02,SMA/Sederajat,"Research officer, government",Rp 5.000.000; Ke Atas,341908690610789,Valerie Owens,2010-08-31,Tidak Bersekolah,Broadcast engineer,Rp 5.000.000; Ke Atas,213187314569896,Sandra Smith,1978-02-20,D3,"Teacher, adult education",Rp 3.500.000;- Rp 5.000.000;,
341766221000122,David Hunter,1986-07-10,S2,Outdoor activities/education manager,Rp 3.500.000;- Rp 5.000.000;,3546467806407520,Kristin Cooper,2015-09-06,Tidak Bersekolah,"Geneticist, molecular",Rp 500.000;- RP 1.500.000;,4460046697274,Kelsey Smith,1971-01-01,Tidak Bersekolah,Comptroller,Rp 5.000.000; Ke Atas,
4211477738045159,Brandi Boyle,1994-07-10,SD/Sederajat,Dietitian,Rp 1.500.000;- Rp 3.500.000;,4295134021507069,Darius Thompson,1980-06-27,D3,"Horticulturist, commercial",Rp 1.500.000;- Rp 3.500.000;,4189371727808,Paul Ramirez,1996-01-23,S2,"Teacher, English as a foreign language",Rp 500.000;- RP 1.500.000;,
38243771924398,Michael Bishop,2000-02-27,D1,Media planner,Rp 5.000.000; Ke Atas,3535801222025313,Seth Clark,2005-07-21,Lainnya,Theatre manager,Rp 1.500.000;- Rp 3.500.000;,3595529174442155,Brianna Jimenez,1971-04-30,D1,"Scientist, marine",Rp 5.000.000; Ke Atas,
6502591078384896,Matthew Murphy,1990-07-07,S1,"Producer, television/film/video",Rp 1.500.000;- Rp 3.500.000;,6011920446500756,Jared Day,1975-07-05,S2,Chief Operating Officer,Rp 3.500.000;- Rp 5.000.000;,180022149152759,Madeline Wilson,2006-11-30,S2,Printmaker,Kurang dari Rp 500.000;,
341297730348786,Duane Watson,1999-12-19,SD/Sederajat,Best boy,Rp 3.500.000;- Rp 5.000.000;,4086111680140377,Thomas Greer,1972-07-07,D3,Legal executive,Rp 5.000.000; Ke Atas,503859880075,Seth Weiss,2012-11-10,SD/Sederajat,"Designer, exhibition/display",Rp 1.500.000;- Rp 3.500.000;,
3551801040684753,Steven Perry,1982-06-10,D4,"Designer, exhibition/display",Kurang dari Rp 500.000;,343230605968766,Christine Allen,1979-07-27,SMA/Sederajat,Curator,Rp 500.000;- RP 1.500.000;,30174996387392,Jennifer Cooper,1997-06-19,SMP/Sederajat,Learning mentor,Rp 3.500.000;- Rp 5.000.000;,
30593266326865,Mr. Thomas Hudson,2010-01-16,SD/Sederajat,Barrister,Rp 1.500.000;- Rp 3.500.000;,6536517612854151,Catherine Williams,1973-08-25,D1,Charity officer,Rp 5.000.000; Ke Atas,4663721971940672273,Heather Watson,1991-01-18,S2,"Teacher, adult education",Rp 1.500.000;- Rp 3.500.000;,
6579459744379807,Timothy Taylor,2020-03-20,S2,Housing manager/officer,Rp 3.500.000;- Rp 5.000.000;,4065084199308774,Michele Jones,2019-04-09,SMP/Sederajat,Pension scheme manager,Rp 5.000.000; Ke Atas,4112121928512723,Danielle Jones,2004-10-20,S1,Theatre director,Rp 500.000;- RP 1.500.000;,
5328008747053509,Edward Cabrera,1976-02-18,D1,Astronomer,Rp 3.500.000;- Rp 5.000.000;,5185671054911122,Lisa Baker,2010-01-04,SMA/Sederajat,Personal assistant,Rp 1.500.000;- Rp 3.500.000;,6011573390212538,Pamela Walsh,1981-08-15,SD/Sederajat,Financial controller,Rp 500.000;- RP 1.500.000;,
30013219926141,Joseph Franklin,1988-06-05,SMP/Sederajat,"Engineer, structural",Rp 5.000.000; Ke Atas,568367806664,Mr. Michael Figueroa,2014-12-08,D3,"Therapist, art",Kurang dari Rp 500.000;,4907749830683340929,Joanna Mitchell,1983-01-15,SD/Sederajat,Horticultural therapist,Rp 500.000;- RP 1.500.000;,
180085469527538,Felicia Waters,2010-10-31,D1,Corporate investment banker,Kurang dari Rp 500.000;,4033624656762,James Payne,2016-01-30,Tidak Bersekolah,Water quality scientist,Rp 1.500.000;- Rp 3.500.000;,6011370086750669,Heather May,1996-09-17,S1,"Geologist, wellsite",Rp 3.500.000;- Rp 5.000.000;,
30091415579534,Karen Brooks,1978-05-26,SMA/Sederajat,Estate manager/land agent,Rp 500.000;- RP 1.500.000;,4615977021473442925,Debra Thompson,2004-08-04,SD/Sederajat,Secretary/administrator,Rp 5.000.000; Ke Atas,4968849470627730,Heather Thomas,2003-02-04,Lainnya,Mining engineer,Rp 500.000;- RP 1.500.000;,
213112101455745,Raymond Allison,1978-03-21,SMP/Sederajat,Therapeutic radiographer,Rp 5.000.000; Ke Atas,4378503027761,Mark Berry,1970-03-12,S2,Hydrographic surveyor,Rp 3.500.000;- Rp 5.000.000;,4111542794177583,Tara Simon,2018-11-27,D4,Police officer,Kurang dari Rp 500.000;,
4624019224808429029,Samantha Bowers,1985-12-05,SMA/Sederajat,"Secretary, company",Kurang dari Rp 500.000;,3539317630186650,Michael Garza,1992-01-24,D1,Amenity horticulturist,Rp 5.000.000; Ke Atas,30139547665950,Lindsay Hayes,2011-10-11,SMP/Sederajat,Operational investment banker,Rp 3.500.000;- Rp 5.000.000;,
180070527588573,Gary Ramirez,1975-06-13,D3,Geoscientist,Rp 3.500.000;- Rp 5.000.000;,4599597016997144,Jared Villanueva,2020-04-23,Lainnya,Purchasing manager,Rp 3.500.000;- Rp 5.000.000;,3536865806609346,Sandra Page,1992-05-17,D2,Veterinary surgeon,Rp 1.500.000;- Rp 3.500.000;,
5312632805581792,Bonnie Hill,1988-04-12,SD/Sederajat,Newspaper journalist,Rp 1.500.000;- Rp 3.500.000;,6552899090251194,Deborah Shaffer,1990-12-21,D2,Maintenance engineer,Rp 1.500.000;- Rp 3.500.000;,4303828539250456,Timothy Mcgee,1980-12-28,D2,"Engineer, structural",Rp 3.500.000;- Rp 5.000.000;,
36800530528836,Rebecca Robinson,1977-12-16,SMA/Sederajat,Warden/ranger,Rp 1.500.000;- Rp 3.500.000;,6584894861130059,Sarah Johnson,2000-08-26,D2,"Presenter, broadcasting",Rp 1.500.000;- Rp 3.500.000;,3555706654731814,Desiree Murray,2014-08-12,Lainnya,Insurance risk surveyor,Rp 3.500.000;- Rp 5.000.000;,
213166968122723,Brian Ingram Jr.,2003-07-16,Lainnya,Aid worker,Rp 3.500.000;- Rp 5.000.000;,180090431842353,Tyler Avila,1971-12-03,S1,"Psychologist, prison and probation services",Kurang dari Rp 500.000;,4800218246433453640,Vanessa Landry,1984-02-14,Tidak Bersekolah,"Teacher, adult education",Rp 500.000;- RP 1.500.000;,
3564389421783100,Christopher Rivera,2010-06-26,D4,Nature conservation officer,Rp 3.500.000;- Rp 5.000.000;,675946811105,Casey Frazier,1991-11-17,SD/Sederajat,Retail banker,Rp 1.500.000;- Rp 3.500.000;,4778444442792430,Cody Moore,1987-11-10,Lainnya,Education administrator,Rp 3.500.000;- Rp 5.000.000;,
676138009110,Gina Miller,1991-10-12,SMP/Sederajat,"Therapist, nutritional",Rp 3.500.000;- Rp 5.000.000;,3550952786202507,Victor Miller,2013-12-01,D2,Forensic scientist,Rp 500.000;- RP 1.500.000;,4782969605814328,James Richardson,1981-10-10,S2,Commercial art gallery manager,Rp 500.000;- RP 1.500.000;,
4150870211442724,Dr. Heidi Reed PhD,1997-07-29,D4,"Lighting technician, broadcasting/film/video",Rp 1.500.000;- Rp 3.500.000;,588321702247,Amanda Russell,2019-02-01,D4,Learning mentor,Rp 5.000.000; Ke Atas,4928849121137273261,David Orr,1975-03-06,Tidak Bersekolah,Immunologist,Rp 3.500.000;- Rp 5.000.000;,
676212424250,Janet Allen,2018-04-07,SMA/Sederajat,Fashion designer,Rp 5.000.000; Ke Atas,36618701896356,Matthew Shaw,2018-05-11,D2,Neurosurgeon,Kurang dari Rp 500.000;,4818525155413,Karen Schultz,1998-09-23,Lainnya,Lexicographer,Kurang dari Rp 500.000;,
3583940493409888,Ashley Perkins,1978-11-21,S2,Field trials officer,Rp 1.500.000;- Rp 3.500.000;,38400757905284,David Johnson,1986-11-19,S2,Clothing/textile technologist,Rp 500.000;- RP 1.500.000;,5143527134240869,Kristopher Cunningham,1987-08-17,SMA/Sederajat,Occupational psychologist,Kurang dari Rp 500.000;,
180085604554629,Mary Wheeler,1996-08-24,D4,Astronomer,Rp 500.000;- RP 1.500.000;,2267113489376801,Tiffany Johnson,2004-08-22,SD/Sederajat,Careers adviser,Kurang dari Rp 500.000;,4057015015199179,Jason Torres,1987-08-12,D4,Solicitor,Kurang dari Rp 500.000;,
502038576422,Tyler Todd,2001-02-05,D4,Music tutor,Rp 5.000.000; Ke Atas,563202599947,Donald Gomez,1988-05-29,S2,Forensic scientist,Rp 3.500.000;- Rp 5.000.000;,501881165770,Leslie Hahn,1980-06-11,SMA/Sederajat,"Designer, furniture",Rp 5.000.000; Ke Atas,
2238374693345091,Karen Sosa,2016-01-01,Lainnya,Neurosurgeon,Rp 500.000;- RP 1.500.000;,4804888831570247524,Laura Landry,1975-04-15,D1,Retail manager,Kurang dari Rp 500.000;,4175082046803929,Suzanne Patterson,1981-02-14,Tidak Bersekolah,Occupational psychologist,Rp 3.500.000;- Rp 5.000.000;,
2407240751962470,William Davis,2008-06-28,S2,Hydrologist,Rp 1.500.000;- Rp 3.500.000;,213197812197140,Michael Rhodes,2019-07-28,SMA/Sederajat,Tree surgeon,Kurang dari Rp 500.000;,4345570402965725,Joseph Myers,1989-05-06,D2,Toxicologist,Kurang dari Rp 500.000;,
3575888689358072,Tanya Hernandez,1974-09-28,D1,Health promotion specialist,Rp 500.000;- RP 1.500.000;,30131933271261,Erika Mann,1980-07-08,D2,Seismic interpreter,Rp 3.500.000;- Rp 5.000.000;,675992541077,April Spencer,1970-04-13,SD/Sederajat,Higher education lecturer,Kurang dari Rp 500.000;,
3514555525783763,Samantha Brown,2016-12-23,D4,"Therapist, nutritional",Kurang dari Rp 500.000;,213158871296538,Matthew Harvey,1993-11-16,SD/Sederajat,Medical technical officer,Rp 1.500.000;- Rp 3.500.000;,3536090349487973,William Anthony,1981-04-08,Lainnya,Clinical embryologist,Rp 1.500.000;- Rp 3.500.000;,
376039920363094,Mercedes Stevens,2006-05-09,SD/Sederajat,Data scientist,Kurang dari Rp 500.000;,4639823204637678362,John Barnett,2011-05-09,SMP/Sederajat,Mining engineer,Kurang dari Rp 500.000;,2233893608030972,Sherry Haynes,1987-05-05,SD/Sederajat,"Scientist, biomedical",Rp 1.500.000;- Rp 3.500.000;,
